iter	Passed	Remaining
0	0	955
1	1	835
2	1	614
3	2	530
4	2	487
5	2	463
6	3	444
7	3	429
8	3	414
9	4	402
10	4	398
11	4	390
12	5	383
13	5	387
14	5	382
15	6	377
16	6	373
17	6	369
18	7	369
19	7	367
20	7	363
21	7	352
22	8	345
23	8	342
24	8	339
25	8	336
26	9	333
27	9	331
28	9	328
29	10	326
30	10	324
31	10	322
32	10	320
33	11	319
34	11	330
35	12	347
36	13	352
37	13	353
38	14	358
39	15	363
40	15	363
41	16	375
42	17	378
43	17	389
44	18	402
45	19	413
46	20	424
47	21	434
48	22	441
49	23	438
50	23	445
51	24	441
52	25	452
53	26	457
54	27	465
55	27	470
56	28	478
57	29	484
58	30	492
59	31	499
60	32	505
61	33	511
62	34	508
63	35	520
64	36	527
65	37	534
66	38	541
67	39	547
68	41	554
69	42	560
70	43	565
71	44	571
72	44	566
73	45	572
74	45	566
75	46	561
76	47	571
77	48	574
78	49	575
79	50	577
80	51	579
81	51	581
82	52	577
83	53	580
84	54	581
85	54	583
86	55	584
87	57	599
88	58	601
89	59	605
90	61	616
91	62	616
92	62	613
93	63	616
94	64	616
95	65	617
96	66	619
97	67	620
98	68	622
99	69	624
100	69	620
101	69	616
102	70	612
103	70	608
104	71	608
105	71	604
106	71	600
107	72	601
108	73	601
109	74	602
110	75	603
111	76	603
112	77	604
113	77	601
114	77	597
115	77	594
116	78	590
117	78	587
118	78	584
119	79	580
120	79	577
121	79	574
122	80	571
123	80	568
124	80	565
125	81	562
126	81	559
127	81	556
128	81	553
129	82	550
130	82	547
131	82	544
132	83	541
133	83	540
134	84	538
135	84	535
136	84	533
137	84	530
138	85	530
139	85	527
140	86	524
141	86	522
142	86	519
143	86	516
144	87	514
145	87	512
146	87	509
147	88	507
148	88	504
149	88	502
150	88	500
151	89	497
152	89	495
153	89	493
154	90	491
155	90	488
156	90	486
157	90	484
158	91	482
159	91	480
160	91	478
161	92	476
162	92	474
163	92	472
164	93	470
165	93	469
166	93	467
167	94	465
168	94	463
169	94	462
170	94	460
171	95	458
172	95	456
173	95	455
174	96	453
175	96	451
176	96	450
177	97	449
178	97	448
179	97	446
180	98	444
181	98	442
182	98	441
183	99	439
184	99	437
185	99	436
186	100	435
187	100	433
188	101	435
189	101	434
190	102	434
191	103	434
192	103	433
193	104	433
194	105	435
195	106	436
196	107	437
197	108	439
198	109	440
199	110	441
200	111	443
201	112	444
202	113	446
203	114	446
204	115	446
205	115	445
206	116	446
207	117	446
208	118	446
209	118	446
210	119	446
211	120	447
212	120	445
213	121	446
214	121	445
215	122	446
216	123	444
217	123	442
218	123	441
219	124	439
220	124	438
221	124	437
222	125	435
223	125	434
224	125	433
225	126	431
226	126	430
227	126	428
228	126	427
229	127	426
230	127	424
231	127	423
232	128	421
233	128	420
234	130	423
235	130	422
236	130	420
237	131	419
238	131	418
239	131	416
240	131	415
241	132	414
242	132	412
243	132	411
244	133	409
245	133	408
246	133	407
247	133	405
248	134	404
249	134	403
250	134	401
251	134	400
252	135	399
253	135	397
254	135	396
255	136	395
256	136	394
257	136	392
258	136	391
259	137	390
260	137	389
261	137	387
262	137	386
263	138	385
264	138	383
265	138	382
266	139	382
267	139	381
268	140	381
269	141	381
270	141	381
271	142	381
272	143	382
273	144	383
274	145	383
275	146	384
276	147	384
277	148	385
278	149	385
279	150	386
280	151	386
281	152	387
282	153	387
283	153	386
284	153	385
285	154	384
286	154	384
287	155	384
288	156	385
289	157	384
290	158	385
291	158	384
292	159	384
293	160	385
294	160	384
295	161	385
296	162	385
297	163	385
298	163	384
299	164	383
300	165	383
301	166	383
302	167	384
303	167	384
304	168	384
305	169	383
306	169	382
307	169	381
308	170	381
309	171	381
310	172	381
311	173	381
312	173	381
313	174	381
314	175	381
315	175	380
316	176	380
317	177	380
318	178	380
319	179	380
320	180	380
321	182	384
322	183	384
323	184	384
324	185	384
325	185	384
326	186	383
327	186	383
328	188	383
329	188	383
330	189	383
331	190	383
332	191	383
333	192	383
334	192	382
335	192	381
336	193	379
337	193	378
338	193	377
339	194	376
340	194	376
341	195	375
342	196	375
343	196	374
344	196	373
345	197	373
346	197	372
347	198	371
348	198	370
349	199	370
350	199	369
351	200	369
352	201	368
353	202	368
354	202	367
355	203	367
356	203	366
357	203	365
358	204	364
359	204	363
360	204	362
361	205	362
362	206	361
363	206	360
364	206	359
365	206	358
366	207	357
367	207	356
368	208	356
369	208	355
370	208	353
371	209	352
372	209	351
373	209	350
